id,count
0,84.39952
1,197.23976
2,71.630104
4,99.161964
5,99.166626
10,128.71573
11,141.42256
12,178.51999
15,57.770622
17,35.732624
18,195.59113
23,187.34508
25,130.29823
26,70.16778
31,191.27667
39,153.79462
40,44.735607
41,145.81317
42,187.49219
43,165.50458
51,189.57846
52,56.31475
54,80.08887
60,157.06197
61,152.8629
62,136.17874
63,44.675194
65,137.25279
66,126.94428
68,149.31161
71,50.85497
80,73.10218
82,97.34858
94,169.02794
98,186.92195
101,63.085747
102,167.47856
107,124.77595
112,180.38007
113,54.57589
115,27.933163
116,153.82556
120,105.7953
121,53.674706
122,204.05183
132,167.70557
143,55.095123
147,73.21125
150,55.292698
151,65.33016
152,190.11618
153,94.13517
155,67.50914
156,137.46071
159,178.43146
161,105.15771
163,96.478325
177,165.206
186,72.31866
188,88.1774
190,99.28103
191,86.539536
192,147.07263
195,190.6382
200,170.18785
209,193.88034
210,47.96873
211,182.28206
214,156.29462
215,81.787186
218,122.15156
219,40.707024
222,113.69764
225,55.049694
228,200.77448
236,187.54352
241,97.75865
242,168.84273
243,191.94603
245,92.28063
247,201.5032
251,160.93196
252,101.47491
253,51.215164
254,65.57652
258,188.06842
260,73.88561
261,153.12117
265,81.75953
266,190.37901
267,157.15
269,162.03271
270,99.13123
275,128.91399
278,84.60883
279,43.968685
286,113.140495
287,84.602295
288,189.18695
289,167.72166
293,99.08861
294,145.12373
297,7.4641256
302,87.09932
303,58.277557
304,105.61145
307,133.7587
309,62.586887
311,179.93378
312,134.40147
314,188.00179
315,190.47287
319,185.19768
322,145.28198
323,89.35955
325,150.17822
327,191.89233
330,60.334103
332,179.56535
333,95.20644
338,147.2821
341,73.00411
345,145.9641
348,159.7974
349,101.65664
350,129.28922
352,48.95407
355,44.84301
356,160.10522
358,44.21313
363,159.22919
369,170.03282
371,59.572224
372,160.86398
375,201.3372
380,147.87236
388,92.340004
391,171.50214
392,154.82816
393,193.48158
394,77.47278
396,75.13021
401,53.41545
407,63.23476
409,95.44267
410,118.32407
416,97.840416
418,126.43199
420,174.25438
421,171.95415
422,168.35123
424,199.40405
428,157.71274
429,173.26544
431,148.30531
435,17.566845
439,121.69356
441,46.990173
447,63.390812
449,155.21515
451,171.71927
452,81.92115
454,147.32144
458,174.69588
463,162.97343
467,56.80122
470,132.67781
471,154.22357
474,196.20499
478,91.66313
483,92.25541
484,134.12866
485,92.2358
486,153.40572
491,100.789246
494,87.70925
495,157.05577
497,165.73491
499,172.38148
515,126.18885
518,179.94371
521,113.63231
525,178.05807
529,186.13283
532,162.77806
534,69.183205
540,86.12851
544,196.91632
547,171.03284
549,101.30373
563,50.52619
564,178.67928
567,89.08432
572,129.01648
577,142.63779
578,195.45784
585,177.08301
588,162.72641
589,137.66739
590,135.5386
592,61.468876
594,137.75664
596,66.62083
598,168.79958
599,165.5434
605,80.992165
606,141.23595
607,164.60275
608,185.72617
609,93.81171
610,184.19312
611,102.45578
614,160.0281
615,166.59601
616,185.38931
617,148.18257
618,159.9821
624,95.14908
629,175.18219
631,103.06433
633,72.52747
637,78.58537
638,118.664154
643,63.42356
644,168.33717
645,67.08767
646,157.04362
648,159.57541
650,91.8239
651,84.25365
652,210.22719
656,153.91034
657,94.26959
659,63.668316
660,142.90019
662,139.15158
665,194.17192
675,201.3081
681,168.86452
682,169.9924
685,88.57808
686,182.42639
689,70.41282
696,155.38489
703,165.37881
704,100.553085
705,155.0255
714,181.29297
717,68.79987
718,62.282246
720,97.63395
721,192.71222
723,184.82289
726,75.61144
728,146.29688
730,92.79667
731,86.256386
734,197.63538
737,53.42177
738,91.52412
745,158.37936
746,60.482716
749,177.75659
752,56.213272
753,65.69107
758,179.6612
765,64.60945
766,171.81847
768,65.90701
769,182.0057
774,166.91989
775,125.54064
781,36.717552
784,187.62955
794,112.40276
795,197.38518
796,74.68977
802,129.40588
803,115.68394
805,51.93216
806,205.37311
807,114.68615
809,50.86131
810,177.23064
812,76.67536
814,92.884315
818,185.16586
819,181.85474
825,5.327062
836,65.243706
839,144.72476
847,195.22672
848,75.01851
851,146.92003
852,161.4497
853,52.344826
857,171.80896
858,96.49908
859,180.12112
