id,count
0,99.16318
1,216.62135
2,77.50843
4,115.119354
5,104.00299
10,155.81335
11,166.65547
12,182.4018
15,67.82046
17,45.122215
18,220.60027
23,213.05566
25,142.87695
26,85.90975
31,212.12306
39,166.49834
40,58.893215
41,159.25536
42,209.29306
43,190.85544
51,214.8754
52,71.13946
54,100.60742
60,182.21243
61,168.78719
62,160.38725
63,63.755836
65,162.64088
66,148.52478
68,162.75137
71,69.49939
80,88.50817
82,124.19349
94,191.33188
98,211.12001
101,71.70935
102,189.84041
107,139.15044
112,191.66708
113,64.383385
115,39.117195
116,179.55765
120,129.89873
121,65.906105
122,227.05652
132,188.1333
143,67.89392
147,92.515495
150,64.13212
151,81.93496
152,214.06447
153,123.02807
155,72.62486
156,156.93138
159,203.65332
161,128.63446
163,122.08416
177,190.00748
186,94.230896
188,112.85948
190,123.971054
191,101.22346
192,157.79973
195,205.65767
200,189.63269
209,217.30595
210,59.237015
211,197.51477
214,176.02606
215,98.27225
218,137.39212
219,50.44601
222,137.68753
225,70.69991
228,225.44179
236,212.61368
241,121.768845
242,191.51582
243,218.89018
245,116.768295
247,223.34814
251,181.85773
252,125.68732
253,61.111015
254,76.40043
258,212.99614
260,97.22973
261,167.42175
265,108.88663
266,213.80443
267,169.91371
269,186.50793
270,123.29522
275,142.05202
278,109.478355
279,56.518307
286,139.68727
287,109.798744
288,212.10167
289,187.35706
293,123.89672
294,158.03412
297,16.138857
302,95.706276
303,64.21435
304,111.162834
307,152.53052
309,73.9378
311,202.18187
312,141.01457
314,208.13588
315,216.25151
319,206.74194
322,171.77399
323,113.55354
325,159.94034
327,214.7483
330,80.9287
332,205.4552
333,120.49736
338,164.76465
341,77.1071
345,155.75261
348,181.13933
349,129.03894
350,153.9838
352,67.43812
355,59.819572
356,178.51447
358,58.73976
363,184.22934
369,192.05821
371,67.48428
372,177.61726
375,223.9149
380,163.00824
388,119.404396
391,195.01373
392,172.91621
393,217.70927
394,88.73075
396,97.23612
401,68.66052
407,91.98193
409,121.56469
410,138.6727
416,110.07192
418,151.98383
420,200.17065
421,184.80591
422,193.38077
424,223.40231
428,170.16713
429,182.03255
431,162.93828
435,28.473392
439,145.65422
441,56.610596
447,83.53117
449,168.24013
451,190.52263
452,103.48038
454,154.32477
458,179.88153
463,181.93773
467,65.90073
470,147.41714
471,178.25508
474,217.28983
478,110.82636
483,108.11235
484,143.32071
485,119.50314
486,170.3021
491,109.51573
494,94.03856
495,167.41496
497,180.31456
499,188.04518
515,145.8761
518,201.486
521,138.04744
525,199.65218
529,209.58301
532,187.61075
534,97.64753
540,113.8937
544,221.7775
547,196.43646
549,127.26384
563,63.503788
564,197.82063
567,100.66645
